"subject","theory","step","dist_type","mu"
0,"LaF",0,"labelled",0.288056407269371
0,"LaF",0,"unlabelled",0.180797692167039
0,"LaF",0,"between",1.69275224206694
0,"LaF",0,"r_labelled",0.170170447931375
0,"LaF",0,"r_unlabelled",0.10680694296188
0,"LaF",100,"labelled",0.231328442827212
0,"LaF",100,"unlabelled",0.143073155085133
0,"LaF",100,"between",0.469479943685152
0,"LaF",100,"r_labelled",0.49273338709938
0,"LaF",100,"r_unlabelled",0.304748172972182
0,"LaF",200,"labelled",0.239708780181831
0,"LaF",200,"unlabelled",0.145475635936342
0,"LaF",200,"between",0.656248039652857
0,"LaF",200,"r_labelled",0.36527161331961
0,"LaF",200,"r_unlabelled",0.221677821717069
0,"LaF",300,"labelled",0.241753124717074
0,"LaF",300,"unlabelled",0.152039590095538
0,"LaF",300,"between",0.87553503523194
0,"LaF",300,"r_labelled",0.276120446342882
0,"LaF",300,"r_unlabelled",0.173653347927145
0,"LaF",400,"labelled",0.244495350178277
0,"LaF",400,"unlabelled",0.15574321844829
0,"LaF",400,"between",1.09891367921617
0,"LaF",400,"r_labelled",0.222488221597777
0,"LaF",400,"r_unlabelled",0.141724706311216
0,"LaF",500,"labelled",0.246862920268744
0,"LaF",500,"unlabelled",0.15734804287883
0,"LaF",500,"between",1.28976710494935
0,"LaF",500,"r_labelled",0.191401160195072
0,"LaF",500,"r_unlabelled",0.121997252275254
0,"LaF",600,"labelled",0.247782231768619
0,"LaF",600,"unlabelled",0.157883094567686
0,"LaF",600,"between",1.43267988950849
0,"LaF",600,"r_labelled",0.172950170923126
0,"LaF",600,"r_unlabelled",0.110201235966152
0,"LaF",700,"labelled",0.247967820138781
0,"LaF",700,"unlabelled",0.158063950676631
0,"LaF",700,"between",1.53119638721723
0,"LaF",700,"r_labelled",0.161943838301129
0,"LaF",700,"r_unlabelled",0.103229051476469
0,"LaF",800,"labelled",0.248315209041582
0,"LaF",800,"unlabelled",0.158365210013191
0,"LaF",800,"between",1.59595246193703
0,"LaF",800,"r_labelled",0.155590604960876
0,"LaF",800,"r_unlabelled",0.0992292776822318
0,"LaF",900,"labelled",0.249171525190517
0,"LaF",900,"unlabelled",0.15899468631484
0,"LaF",900,"between",1.63731053334708
0,"LaF",900,"r_labelled",0.152183425267012
0,"LaF",900,"r_unlabelled",0.0971072274175226
0,"LaF",1000,"labelled",0.250559066483554
0,"LaF",1000,"unlabelled",0.159964816259582
0,"LaF",1000,"between",1.66318628702326
0,"LaF",1000,"r_labelled",0.150650031471821
0,"LaF",1000,"r_unlabelled",0.0961797349507279
0,"LaF",1100,"labelled",0.252402399857502
0,"LaF",1100,"unlabelled",0.161212495451886
0,"LaF",1100,"between",1.67906660083278
0,"LaF",1100,"r_labelled",0.150323042416731
0,"LaF",1100,"r_unlabelled",0.0960131631299963
0,"LaF",1200,"labelled",0.254620122552259
0,"LaF",1200,"unlabelled",0.162666509688909
0,"LaF",1200,"between",1.68857980007026
0,"LaF",1200,"r_labelled",0.150789511127437
0,"LaF",1200,"r_unlabelled",0.0963333267886664
0,"LaF",1300,"labelled",0.257149253324704
0,"LaF",1300,"unlabelled",0.164269479362973
0,"LaF",1300,"between",1.69406384040149
0,"LaF",1300,"r_labelled",0.151794310929722
0,"LaF",1300,"r_unlabelled",0.0969677030140971
0,"LaF",1400,"labelled",0.259946204227591
0,"LaF",1400,"unlabelled",0.16598050243325
0,"LaF",1400,"between",1.69700265903759
0,"LaF",1400,"r_labelled",0.153179609261787
0,"LaF",1400,"r_unlabelled",0.0978080391031217
0,"LaF",1500,"labelled",0.262982039755158
0,"LaF",1500,"unlabelled",0.167772090972983
0,"LaF",1500,"between",1.69832983676855
0,"LaF",1500,"r_labelled",0.154847447216461
0,"LaF",1500,"r_unlabelled",0.0987865179900546
0,"LaF",1600,"labelled",0.266237710737492
0,"LaF",1600,"unlabelled",0.169626381238009
0,"LaF",1600,"between",1.69862978430098
0,"LaF",1600,"r_labelled",0.156736749348272
0,"LaF",1600,"r_unlabelled",0.0998607129144469
0,"LaF",1700,"labelled",0.269700520155454
0,"LaF",1700,"unlabelled",0.171532030487705
0,"LaF",1700,"between",1.69826745635849
0,"LaF",1700,"r_labelled",0.158809214146846
0,"LaF",1700,"r_unlabelled",0.101004132090897
0,"LaF",1800,"labelled",0.273361750915848
0,"LaF",1800,"unlabelled",0.173481988107989
0,"LaF",1800,"between",1.69747067746327
0,"LaF",1800,"r_labelled",0.161040632127068
0,"LaF",1800,"r_unlabelled",0.102200285643369
0,"LaF",1900,"labelled",0.277215126903004
0,"LaF",1900,"unlabelled",0.175471985818719
0,"LaF",1900,"between",1.69638190564372
0,"LaF",1900,"r_labelled",0.163415517449658
0,"LaF",1900,"r_unlabelled",0.103438963381382
0,"LaF",2000,"labelled",0.281255818203386
0,"LaF",2000,"unlabelled",0.177499544596391
0,"LaF",2000,"between",1.69509059591239
0,"LaF",2000,"r_labelled",0.165923767662695
0,"LaF",2000,"r_unlabelled",0.104713898492753
0,"LaF",2100,"labelled",0.285479789912342
0,"LaF",2100,"unlabelled",0.179563331062741
0,"LaF",2100,"between",1.69365336358257
0,"LaF",2100,"r_labelled",0.168558570514375
0,"LaF",2100,"r_unlabelled",0.106021299826614
1,"CR",0,"labelled",0.242231374023004
1,"CR",0,"unlabelled",0.244392275284582
1,"CR",0,"between",1.59490091473559
1,"CR",0,"r_labelled",0.15187863508321
1,"CR",0,"r_unlabelled",0.153233516280915
1,"CR",100,"labelled",0.181102482706681
1,"CR",100,"unlabelled",0.149120276927398
1,"CR",100,"between",0.450942111076237
1,"CR",100,"r_labelled",0.401609160595923
1,"CR",100,"r_unlabelled",0.330686075362315
1,"CR",200,"labelled",0.184340157129294
1,"CR",200,"unlabelled",0.159144565406388
1,"CR",200,"between",0.53661649030502
1,"CR",200,"r_labelled",0.343523094164536
1,"CR",200,"r_unlabelled",0.296570396701615
1,"CR",300,"labelled",0.188330364009451
1,"CR",300,"unlabelled",0.177773421244031
1,"CR",300,"between",0.690748875899672
1,"CR",300,"r_labelled",0.272646645662881
1,"CR",300,"r_unlabelled",0.257363316027823
