subject,theory,explo_overlap,trial,labelled,looking_time
0,LaF,0,0,no_label,1.2815045791
0,LaF,0,0,label,1.45230618057
0,LaF,0,1,no_label,1.29723105417
0,LaF,0,1,label,1.38112218866
0,LaF,0,2,no_label,1.2180837841
0,LaF,0,2,label,1.19626198577
0,LaF,0,3,no_label,1.11309810019
0,LaF,0,3,label,1.03947615181
0,LaF,0,4,no_label,1.01448872851
0,LaF,0,4,label,0.92116906471
0,LaF,0,5,no_label,0.928324447895
0,LaF,0,5,label,0.831375842964
0,LaF,0,6,no_label,0.853472837076
0,LaF,0,6,label,0.7596125654
0,LaF,0,7,no_label,0.787408846003
0,LaF,0,7,label,0.698901049167
1,CR,0,0,no_label,1.5489001048
1,CR,0,0,label,0.918366484557
1,CR,0,1,no_label,1.03669337703
1,CR,0,1,label,0.723432971498
1,CR,0,2,no_label,0.756249957477
1,CR,0,2,label,0.508389057637
1,CR,0,3,no_label,0.560371162266
1,CR,0,3,label,0.364657654472
1,CR,0,4,no_label,0.426427443363
1,CR,0,4,label,0.274254643327
1,CR,0,5,no_label,0.333544558412
1,CR,0,5,label,0.21704177894
1,CR,0,6,no_label,0.267692400592
1,CR,0,6,label,0.179880265799
1,CR,0,7,no_label,0.220019559897
1,CR,0,7,label,0.154688630691
2,LaF,0,0,label,1.38388050601
2,LaF,0,0,no_label,1.38320666055
2,LaF,0,1,label,1.33894627056
2,LaF,0,1,no_label,1.34242938145
2,LaF,0,2,label,1.18175289956
2,LaF,0,2,no_label,1.20885467074
2,LaF,0,3,label,1.03896038127
2,LaF,0,3,no_label,1.08725274926
2,LaF,0,4,label,0.927547130601
2,LaF,0,4,no_label,0.984635216568
2,LaF,0,5,label,0.841660705359
2,LaF,0,5,no_label,0.898235490369
2,LaF,0,6,label,0.772520716641
2,LaF,0,6,no_label,0.824129460812
2,LaF,0,7,label,0.713610448178
2,LaF,0,7,no_label,0.759085143678
3,CR,0,0,label,1.25668784904
3,CR,0,0,no_label,1.23174943888
3,CR,0,1,label,0.770440737596
3,CR,0,1,no_label,0.998029870945
3,CR,0,2,label,0.543878190145
3,CR,0,2,no_label,0.735029684402
3,CR,0,3,label,0.384175797902
3,CR,0,3,no_label,0.548539291878
3,CR,0,4,label,0.286501756953
3,CR,0,4,no_label,0.422289127507
3,CR,0,5,label,0.229049994098
3,CR,0,5,no_label,0.335114691411
3,CR,0,6,label,0.194027464179
3,CR,0,6,no_label,0.27309925922
3,CR,0,7,label,0.170899481991
3,CR,0,7,no_label,0.227749441802
4,LaF,0,0,no_label,1.63039372016
4,LaF,0,0,label,1.29824429637
4,LaF,0,1,no_label,0.906033159535
4,LaF,0,1,label,1.07491820442
4,LaF,0,2,no_label,0.658003789439
4,LaF,0,2,label,0.839890857599
4,LaF,0,3,no_label,0.510396649653
4,LaF,0,3,label,0.672692537354
4,LaF,0,4,no_label,0.419801407152
4,LaF,0,4,label,0.556961092998
4,LaF,0,5,no_label,0.364019358928
4,LaF,0,5,label,0.475442392148
4,LaF,0,6,no_label,0.327932870635
4,LaF,0,6,label,0.416211855456
4,LaF,0,7,no_label,0.30226573503
4,LaF,0,7,label,0.371497723395
5,CR,0,0,no_label,0.692201458019
5,CR,0,0,label,1.28455047429
5,CR,0,1,no_label,0.426107869749
5,CR,0,1,label,1.0758605683
5,CR,0,2,no_label,0.444193096232
5,CR,0,2,label,0.841594613758
5,CR,0,3,no_label,0.420372705688
5,CR,0,3,label,0.684844454464
5,CR,0,4,no_label,0.400148623667
5,CR,0,4,label,0.579495245938
5,CR,0,5,no_label,0.383931502325
5,CR,0,5,label,0.5037280841
5,CR,0,6,no_label,0.368804952427
5,CR,0,6,label,0.446198364813
5,CR,0,7,no_label,0.353645618524
5,CR,0,7,label,0.400843687251
6,LaF,0,0,label,2.06793851272
6,LaF,0,0,no_label,1.0354210513
6,LaF,0,1,label,1.24254975625
6,LaF,0,1,no_label,0.971034969594
6,LaF,0,2,label,0.816289317352
6,LaF,0,2,no_label,0.821285527733
6,LaF,0,3,label,0.588958780108
6,LaF,0,3,no_label,0.693321056519
6,LaF,0,4,label,0.465980252986
6,LaF,0,4,no_label,0.593770644585
6,LaF,0,5,label,0.394933961992
6,LaF,0,5,no_label,0.515888221135
6,LaF,0,6,label,0.348915758973
6,LaF,0,6,no_label,0.45333261609
6,LaF,0,7,label,0.315064451141
6,LaF,0,7,no_label,0.401846374967
7,CR,0,0,label,1.00153380695
7,CR,0,0,no_label,0.908389926644
7,CR,0,1,label,0.803399227083
7,CR,0,1,no_label,0.77833481819
7,CR,0,2,label,0.601936622755
7,CR,0,2,no_label,0.576130302734
7,CR,0,3,label,0.431347339209
7,CR,0,3,no_label,0.432505716869
7,CR,0,4,label,0.324751433314
7,CR,0,4,no_label,0.348988604376
7,CR,0,5,label,0.266053026167
7,CR,0,5,no_label,0.30032870434
7,CR,0,6,label,0.231811529663
7,CR,0,6,no_label,0.267410302824
7,CR,0,7,label,0.208506607983
7,CR,0,7,no_label,0.241983623359
