subject,theory,explo_overlap,trial,labelled,looking_time
7,CR,0.25,3,no_label,0.875668881044
7,CR,0.25,4,label,0.722943843173
7,CR,0.25,4,no_label,0.744691189131
7,CR,0.25,5,label,0.626237223565
7,CR,0.25,5,no_label,0.640266480263
7,CR,0.25,6,label,0.545635535459
7,CR,0.25,6,no_label,0.555117651851
7,CR,0.25,7,label,0.477389573485
7,CR,0.25,7,no_label,0.484378580508
8,LaF,0.25,0,no_label,1.96331990626
8,LaF,0.25,0,label,1.41654506087
8,LaF,0.25,1,no_label,1.5951845405
8,LaF,0.25,1,label,1.36293328896
8,LaF,0.25,2,no_label,1.34093363559
8,LaF,0.25,2,label,1.20557666855
8,LaF,0.25,3,no_label,1.1420135349
8,LaF,0.25,3,label,1.05787839044
8,LaF,0.25,4,no_label,0.986142577078
8,LaF,0.25,4,label,0.926753153517
8,LaF,0.25,5,no_label,0.858437203365
8,LaF,0.25,5,label,0.810501943126
8,LaF,0.25,6,no_label,0.749944576876
8,LaF,0.25,6,label,0.707656531061
8,LaF,0.25,7,no_label,0.655928272574
8,LaF,0.25,7,label,0.61713100062
9,CR,0.25,0,no_label,1.597079566
9,CR,0.25,0,label,0.872975088375
9,CR,0.25,1,no_label,1.12395474605
9,CR,0.25,1,label,0.755670264978
9,CR,0.25,2,no_label,0.910407254872
9,CR,0.25,2,label,0.62375783401
9,CR,0.25,3,no_label,0.767475533676
9,CR,0.25,3,label,0.532187897385
9,CR,0.25,4,no_label,0.660393216379
9,CR,0.25,4,label,0.467007842742
9,CR,0.25,5,no_label,0.575404234019
9,CR,0.25,5,label,0.416435206703
9,CR,0.25,6,no_label,0.505515889945
9,CR,0.25,6,label,0.374270496778
9,CR,0.25,7,no_label,0.446750386568
9,CR,0.25,7,label,0.337549109739
10,LaF,0.25,0,label,1.39250350396
10,LaF,0.25,0,no_label,0.995016858972
10,LaF,0.25,1,label,1.38552393684
10,LaF,0.25,1,no_label,1.03142642104
10,LaF,0.25,2,label,1.22480972615
10,LaF,0.25,2,no_label,0.96084772274
10,LaF,0.25,3,label,1.0684405075
10,LaF,0.25,3,no_label,0.879411440307
10,LaF,0.25,4,label,0.93392075193
10,LaF,0.25,4,no_label,0.799699570889
10,LaF,0.25,5,label,0.819010907672
10,LaF,0.25,5,no_label,0.72409042652
10,LaF,0.25,6,label,0.720249923659
10,LaF,0.25,6,no_label,0.653474006327
10,LaF,0.25,7,label,0.634910340071
10,LaF,0.25,7,no_label,0.588309160747
11,CR,0.25,0,label,1.24593090583
11,CR,0.25,0,no_label,1.07586622001
11,CR,0.25,1,label,0.747014993827
11,CR,0.25,1,no_label,0.928299390732
11,CR,0.25,2,label,0.565878955697
11,CR,0.25,2,no_label,0.756446623511
11,CR,0.25,3,label,0.46065781625
11,CR,0.25,3,no_label,0.627308539714
11,CR,0.25,4,label,0.394397735993
11,CR,0.25,4,no_label,0.530012390784
11,CR,0.25,5,label,0.348648124287
11,CR,0.25,5,no_label,0.45434403516
11,CR,0.25,6,label,0.313480816673
11,CR,0.25,6,no_label,0.393930342558
11,CR,0.25,7,label,0.284051126914
11,CR,0.25,7,no_label,0.344712098798
12,LaF,0.25,0,no_label,1.07179256229
12,LaF,0.25,0,label,1.79822829378
12,LaF,0.25,1,no_label,0.850711871839
12,LaF,0.25,1,label,1.66967680578
12,LaF,0.25,2,no_label,0.909434651713
12,LaF,0.25,2,label,1.38673525364
12,LaF,0.25,3,no_label,0.865448919
12,LaF,0.25,3,label,1.14291335729
12,LaF,0.25,4,no_label,0.790511452599
12,LaF,0.25,4,label,0.946523186151
12,LaF,0.25,5,no_label,0.707000859538
12,LaF,0.25,5,label,0.787819293786
12,LaF,0.25,6,no_label,0.624033699853
12,LaF,0.25,6,label,0.658625639859
12,LaF,0.25,7,no_label,0.546292642557
12,LaF,0.25,7,label,0.553069513456
13,CR,0.25,0,no_label,1.04330460844
13,CR,0.25,0,label,1.15699604822
13,CR,0.25,1,no_label,1.09237186574
13,CR,0.25,1,label,1.12316026351
13,CR,0.25,2,no_label,1.00304753493
13,CR,0.25,2,label,0.98848243059
13,CR,0.25,3,no_label,0.890571909155
13,CR,0.25,3,label,0.85997402211
13,CR,0.25,4,no_label,0.782968121658
13,CR,0.25,4,label,0.74606544824
13,CR,0.25,5,no_label,0.683985231771
13,CR,0.25,5,label,0.645520475227
13,CR,0.25,6,no_label,0.594310311911
13,CR,0.25,6,label,0.556960640608
13,CR,0.25,7,no_label,0.514152851298
13,CR,0.25,7,label,0.47939622967
14,LaF,0.25,0,label,1.71330530439
14,LaF,0.25,0,no_label,1.23446268312
14,LaF,0.25,1,label,1.43579467876
14,LaF,0.25,1,no_label,1.21133617361
14,LaF,0.25,2,label,1.20658214531
14,LaF,0.25,2,no_label,1.06766879166
14,LaF,0.25,3,label,1.02342935932
14,LaF,0.25,3,no_label,0.931742884396
14,LaF,0.25,4,label,0.877924640556
14,LaF,0.25,4,no_label,0.812817930113
14,LaF,0.25,5,label,0.757823567223
14,LaF,0.25,5,no_label,0.70874810827
14,LaF,0.25,6,label,0.655963040544
14,LaF,0.25,6,no_label,0.617547127184
14,LaF,0.25,7,label,0.568522389902
14,LaF,0.25,7,no_label,0.537842152739
15,CR,0.25,0,label,1.19691020798
15,CR,0.25,0,no_label,1.13747419602
15,CR,0.25,1,label,1.22477295639
15,CR,0.25,1,no_label,1.10429011441
15,CR,0.25,2,label,1.10435199215
15,CR,0.25,2,no_label,0.98756724964
15,CR,0.25,3,label,0.975046203585
15,CR,0.25,3,no_label,0.87376186381
15,CR,0.25,4,label,0.856518976454
15,CR,0.25,4,no_label,0.769325446038
15,CR,0.25,5,label,0.749420503874
15,CR,0.25,5,no_label,0.674194042758
15,CR,0.25,6,label,0.653095600224
15,CR,0.25,6,no_label,0.588193045329
15,CR,0.25,7,label,0.567212822452
15,CR,0.25,7,no_label,0.511289021228
16,LaF,0.375,0,no_label,1.30327323142
16,LaF,0.375,0,label,1.23422700981
16,LaF,0.375,1,no_label,1.01561144524
16,LaF,0.375,1,label,1.14906067188
16,LaF,0.375,2,no_label,0.911866733143
16,LaF,0.375,2,label,0.98219803244
16,LaF,0.375,3,no_label,0.817200504118
16,LaF,0.375,3,label,0.84049177749
16,LaF,0.375,4,no_label,0.729105826985
16,LaF,0.375,4,label,0.72487905142
16,LaF,0.375,5,no_label,0.648049203304
16,LaF,0.375,5,label,0.628748322591
16,LaF,0.375,6,no_label,0.574182751181
16,LaF,0.375,6,label,0.547464298065
16,LaF,0.375,7,no_label,0.507558994464
16,LaF,0.375,7,label,0.478044700229
17,CR,0.375,0,no_label,1.3485273479
17,CR,0.375,0,label,1.02563046946
17,CR,0.375,1,no_label,1.01779629154
17,CR,0.375,1,label,0.936969082902
17,CR,0.375,2,no_label,0.876511195407
17,CR,0.375,2,label,0.791566032279
17,CR,0.375,3,no_label,0.768890322017
17,CR,0.375,3,label,0.677089020119
17,CR,0.375,4,no_label,0.679933573501
17,CR,0.375,4,label,0.588641907573
17,CR,0.375,5,no_label,0.603527083483
17,CR,0.375,5,label,0.517365939038
17,CR,0.375,6,no_label,0.536642589618
17,CR,0.375,6,label,0.457716645476
17,CR,0.375,7,no_label,0.477645194318
17,CR,0.375,7,label,0.40652680438
18,LaF,0.375,0,label,1.48214975454
18,LaF,0.375,0,no_label,1.06479150695
18,LaF,0.375,1,label,1.14363415519
18,LaF,0.375,1,no_label,1.03543142637
18,LaF,0.375,2,label,0.976639748457
18,LaF,0.375,2,no_label,0.913315883993
18,LaF,0.375,3,label,0.846528295004
18,LaF,0.375,3,no_label,0.802218144031
18,LaF,0.375,4,label,0.738632997999
18,LaF,0.375,4,no_label,0.706124483572
18,LaF,0.375,5,label,0.646404267231
18,LaF,0.375,5,no_label,0.621732728649
18,LaF,0.375,6,label,0.566416643988
18,LaF,0.375,6,no_label,0.54706686566
18,LaF,0.375,7,label,0.496687461216
18,LaF,0.375,7,no_label,0.48102537713
19,CR,0.375,0,label,1.27735863561
19,CR,0.375,0,no_label,1.11295770092
19,CR,0.375,1,label,0.930778491496
19,CR,0.375,1,no_label,1.01679518273
19,CR,0.375,2,label,0.778554803119
19,CR,0.375,2,no_label,0.869435581182
19,CR,0.375,3,label,0.674071851079
19,CR,0.375,3,no_label,0.753075044686
19,CR,0.375,4,label,0.595482411268
19,CR,0.375,4,no_label,0.660249062481
19,CR,0.375,5,label,0.531453107697
19,CR,0.375,5,no_label,0.583114569956
19,CR,0.375,6,label,0.476433497666
19,CR,0.375,6,no_label,0.517280038511
19,CR,0.375,7,label,0.427799667355
19,CR,0.375,7,no_label,0.460217520794
20,LaF,0.375,0,no_label,0.539172852884
20,LaF,0.375,0,label,1.10969904492
20,LaF,0.375,1,no_label,0.718188100909
20,LaF,0.375,1,label,1.03244531484
20,LaF,0.375,2,no_label,0.738685784128
20,LaF,0.375,2,label,0.870376313671
20,LaF,0.375,3,no_label,0.693972998663
20,LaF,0.375,3,label,0.737084675217
20,LaF,0.375,4,no_label,0.638035530533
20,LaF,0.375,4,label,0.635733195981
20,LaF,0.375,5,no_label,0.583453619466
20,LaF,0.375,5,label,0.557337056234
20,LaF,0.375,6,no_label,0.532795095464
20,LaF,0.375,6,label,0.494522253418
20,LaF,0.375,7,no_label,0.486329195377
20,LaF,0.375,7,label,0.442480520285
21,CR,0.375,0,no_label,1.72858361901
21,CR,0.375,0,label,0.876161962108
21,CR,0.375,1,no_label,0.948535980074
21,CR,0.375,1,label,0.764240362705
21,CR,0.375,2,no_label,0.685718462989
21,CR,0.375,2,label,0.599091971289
21,CR,0.375,3,no_label,0.546410970926
21,CR,0.375,3,label,0.482821570875
21,CR,0.375,4,no_label,0.453650677215
21,CR,0.375,4,label,0.403242641988
21,CR,0.375,5,no_label,0.385810389505
21,CR,0.375,5,label,0.345188853548
21,CR,0.375,6,no_label,0.333343161942
21,CR,0.375,6,label,0.300231684875
21,CR,0.375,7,no_label,0.29116265691
21,CR,0.375,7,label,0.263929199486
22,LaF,0.375,0,label,2.04941941186
22,LaF,0.375,0,no_label,1.33327496181
22,LaF,0.375,1,label,1.6124518829
22,LaF,0.375,1,no_label,1.29971139796
22,LaF,0.375,2,label,1.36421578936
22,LaF,0.375,2,no_label,1.17248506509
22,LaF,0.375,3,label,1.18773673229
22,LaF,0.375,3,no_label,1.06172449892
22,LaF,0.375,4,label,1.05001312109
22,LaF,0.375,4,no_label,0.964109275715
22,LaF,0.375,5,label,0.934268467251
22,LaF,0.375,5,no_label,0.874283268231
22,LaF,0.375,6,label,0.832585418797
22,LaF,0.375,6,no_label,0.790267217409
22,LaF,0.375,7,label,0.741312831665
