subject,model,explo_overlap,trial,labelled,i_presentation,error
1,LaF,0.25,0,no_label,16,0.0732986935679
1,LaF,0.25,0,no_label,17,0.0628897521706
1,LaF,0.25,0,no_label,18,0.0604669285698
1,LaF,0.25,0,no_label,19,0.0535199699848
1,LaF,0.25,0,no_label,20,0.0507231848188
1,LaF,0.25,0,no_label,21,0.0456780690018
1,LaF,0.25,0,no_label,22,0.0429609659546
1,LaF,0.25,0,no_label,23,0.0390657337994
1,LaF,0.25,0,no_label,24,0.0365855493505
1,LaF,0.25,0,no_label,25,0.0334565092706
1,LaF,0.25,0,no_label,26,0.031252592533
1,LaF,0.25,0,no_label,27,0.0286776414313
1,LaF,0.25,0,no_label,28,0.0267440737485
1,LaF,0.25,0,no_label,29,0.0245944532389
1,LaF,0.25,0,no_label,30,0.0229092661376
1,LaF,0.25,0,no_label,31,0.0210992536978
1,LaF,0.25,0,no_label,32,0.0196360739668
1,LaF,0.25,0,no_label,33,0.0181039842683
1,LaF,0.25,0,no_label,34,0.0168365904001
1,LaF,0.25,0,no_label,35,0.0155354032011
1,LaF,0.25,0,no_label,36,0.0144394186337
1,LaF,0.25,0,no_label,37,0.0133318654623
1,LaF,0.25,0,no_label,38,0.0123852917686
1,LaF,0.25,0,no_label,39,0.0114410806946
1,LaF,0.25,0,no_label,40,0.0106243610643
1,LaF,0.25,0,no_label,41,0.00981847512051
1,LaF,0.25,0,no_label,42,0.00911437096402
1,LaF,0.25,0,no_label,43,0.00842593835345
1,LaF,0.25,0,no_label,44,0.00781933675622
1,LaF,0.25,0,no_label,45,0.00723082766745
1,LaF,0.25,0,no_label,46,0.00670852970337
1,LaF,0.25,0,no_label,47,0.00620515438445
1,LaF,0.25,0,no_label,48,0.00575566594713
1,LaF,0.25,0,no_label,49,0.00532490623274
1,LaF,0.25,0,no_label,50,0.00493824080352
1,LaF,0.25,0,no_label,51,0.00456947592583
1,LaF,0.25,0,no_label,52,0.00423697317275
1,LaF,0.25,0,no_label,53,0.00392117558723
1,LaF,0.25,0,no_label,54,0.00363533705806
1,LaF,0.25,0,no_label,55,0.0033648222019
1,LaF,0.25,0,no_label,56,0.0031191640518
1,LaF,0.25,0,no_label,57,0.00288738273617
1,LaF,0.25,0,no_label,58,0.00267630474327
1,LaF,0.25,0,no_label,59,0.00247766986355
1,LaF,0.25,0,no_label,60,0.00229633963067
1,LaF,0.25,0,no_label,61,0.00212608085607
1,LaF,0.25,0,no_label,62,0.0019703319319
1,LaF,0.25,0,no_label,63,0.00182437341906
1,LaF,0.25,0,no_label,64,0.00169061601906
1,LaF,0.25,0,no_label,65,0.00156547320372
1,LaF,0.25,0,no_label,66,0.00145061622799
1,LaF,0.25,0,no_label,67,0.00134330851062
1,LaF,0.25,0,no_label,68,0.00124469161465
1,LaF,0.25,0,no_label,69,0.00115266834457
1,LaF,0.25,0,no_label,70,0.00106800290195
1,LaF,0.25,0,no_label,71,0.00098908052811
1,LaF,0.25,0,no_label,72,0.000916398419675
1,LaF,0.25,0,no_label,73,0.000848707045912
1,LaF,0.25,0,no_label,74,0.00078631630973
1,LaF,0.25,0,no_label,75,0.00072825419066
1,LaF,0.25,0,no_label,76,0.000674700666253
