subject,theory,explo_overlap,trial,labelled,looking_time
10,LaF,0.25,3,no_label,25
10,LaF,0.25,4,label,23
10,LaF,0.25,4,no_label,22
10,LaF,0.25,5,label,20
10,LaF,0.25,5,no_label,19
10,LaF,0.25,6,label,18
10,LaF,0.25,6,no_label,17
10,LaF,0.25,7,label,15
10,LaF,0.25,7,no_label,14
11,CR,0.25,0,label,30
11,CR,0.25,0,no_label,31
11,CR,0.25,1,label,27
11,CR,0.25,1,no_label,28
11,CR,0.25,2,label,25
11,CR,0.25,2,no_label,25
11,CR,0.25,3,label,22
11,CR,0.25,3,no_label,23
11,CR,0.25,4,label,20
11,CR,0.25,4,no_label,20
11,CR,0.25,5,label,17
11,CR,0.25,5,no_label,18
11,CR,0.25,6,label,15
11,CR,0.25,6,no_label,15
11,CR,0.25,7,label,13
11,CR,0.25,7,no_label,13
12,LaF,0.25,0,no_label,31
12,LaF,0.25,0,label,33
12,LaF,0.25,1,no_label,28
12,LaF,0.25,1,label,30
12,LaF,0.25,2,no_label,25
12,LaF,0.25,2,label,26
12,LaF,0.25,3,no_label,22
12,LaF,0.25,3,label,23
12,LaF,0.25,4,no_label,20
12,LaF,0.25,4,label,20
12,LaF,0.25,5,no_label,17
12,LaF,0.25,5,label,18
12,LaF,0.25,6,no_label,15
12,LaF,0.25,6,label,15
12,LaF,0.25,7,no_label,13
12,LaF,0.25,7,label,12
13,CR,0.25,0,no_label,35
13,CR,0.25,0,label,30
13,CR,0.25,1,no_label,30
13,CR,0.25,1,label,27
13,CR,0.25,2,no_label,27
13,CR,0.25,2,label,24
13,CR,0.25,3,no_label,25
13,CR,0.25,3,label,22
13,CR,0.25,4,no_label,22
13,CR,0.25,4,label,19
13,CR,0.25,5,no_label,19
13,CR,0.25,5,label,17
13,CR,0.25,6,no_label,16
13,CR,0.25,6,label,14
13,CR,0.25,7,no_label,14
13,CR,0.25,7,label,12
14,LaF,0.25,0,label,33
14,LaF,0.25,0,no_label,32
14,LaF,0.25,1,label,28
14,LaF,0.25,1,no_label,29
14,LaF,0.25,2,label,26
14,LaF,0.25,2,no_label,27
14,LaF,0.25,3,label,24
14,LaF,0.25,3,no_label,24
14,LaF,0.25,4,label,21
14,LaF,0.25,4,no_label,22
14,LaF,0.25,5,label,19
14,LaF,0.25,5,no_label,19
14,LaF,0.25,6,label,17
14,LaF,0.25,6,no_label,17
14,LaF,0.25,7,label,15
14,LaF,0.25,7,no_label,15
15,CR,0.25,0,label,27
15,CR,0.25,0,no_label,29
15,CR,0.25,1,label,26
15,CR,0.25,1,no_label,26
15,CR,0.25,2,label,23
15,CR,0.25,2,no_label,24
15,CR,0.25,3,label,21
15,CR,0.25,3,no_label,21
15,CR,0.25,4,label,19
15,CR,0.25,4,no_label,19
15,CR,0.25,5,label,16
15,CR,0.25,5,no_label,16
15,CR,0.25,6,label,14
15,CR,0.25,6,no_label,14
15,CR,0.25,7,label,12
15,CR,0.25,7,no_label,11
16,LaF,0.375,0,no_label,34
16,LaF,0.375,0,label,29
16,LaF,0.375,1,no_label,31
16,LaF,0.375,1,label,27
16,LaF,0.375,2,no_label,28
16,LaF,0.375,2,label,24
16,LaF,0.375,3,no_label,26
16,LaF,0.375,3,label,22
16,LaF,0.375,4,no_label,23
16,LaF,0.375,4,label,20
16,LaF,0.375,5,no_label,21
16,LaF,0.375,5,label,18
16,LaF,0.375,6,no_label,18
16,LaF,0.375,6,label,16
16,LaF,0.375,7,no_label,16
16,LaF,0.375,7,label,14
17,CR,0.375,0,no_label,32
17,CR,0.375,0,label,27
17,CR,0.375,1,no_label,26
17,CR,0.375,1,label,25
17,CR,0.375,2,no_label,24
17,CR,0.375,2,label,22
17,CR,0.375,3,no_label,21
17,CR,0.375,3,label,20
17,CR,0.375,4,no_label,19
17,CR,0.375,4,label,17
17,CR,0.375,5,no_label,16
17,CR,0.375,5,label,15
17,CR,0.375,6,no_label,14
17,CR,0.375,6,label,13
17,CR,0.375,7,no_label,12
17,CR,0.375,7,label,10
18,LaF,0.375,0,label,31
18,LaF,0.375,0,no_label,32
18,LaF,0.375,1,label,27
18,LaF,0.375,1,no_label,29
18,LaF,0.375,2,label,25
18,LaF,0.375,2,no_label,26
18,LaF,0.375,3,label,23
18,LaF,0.375,3,no_label,24
18,LaF,0.375,4,label,20
18,LaF,0.375,4,no_label,21
18,LaF,0.375,5,label,18
18,LaF,0.375,5,no_label,19
18,LaF,0.375,6,label,16
18,LaF,0.375,6,no_label,17
18,LaF,0.375,7,label,14
18,LaF,0.375,7,no_label,14
19,CR,0.375,0,label,32
19,CR,0.375,0,no_label,27
19,CR,0.375,1,label,24
19,CR,0.375,1,no_label,24
19,CR,0.375,2,label,22
19,CR,0.375,2,no_label,21
19,CR,0.375,3,label,20
19,CR,0.375,3,no_label,19
19,CR,0.375,4,label,17
19,CR,0.375,4,no_label,17
19,CR,0.375,5,label,15
19,CR,0.375,5,no_label,14
19,CR,0.375,6,label,12
19,CR,0.375,6,no_label,12
19,CR,0.375,7,label,10
19,CR,0.375,7,no_label,9
20,LaF,0.375,0,no_label,32
20,LaF,0.375,0,label,32
20,LaF,0.375,1,no_label,30
20,LaF,0.375,1,label,29
20,LaF,0.375,2,no_label,26
20,LaF,0.375,2,label,25
20,LaF,0.375,3,no_label,23
20,LaF,0.375,3,label,22
20,LaF,0.375,4,no_label,20
20,LaF,0.375,4,label,19
20,LaF,0.375,5,no_label,17
20,LaF,0.375,5,label,16
20,LaF,0.375,6,no_label,14
20,LaF,0.375,6,label,13
20,LaF,0.375,7,no_label,12
20,LaF,0.375,7,label,10
21,CR,0.375,0,no_label,28
21,CR,0.375,0,label,30
21,CR,0.375,1,no_label,27
21,CR,0.375,1,label,28
21,CR,0.375,2,no_label,25
21,CR,0.375,2,label,26
21,CR,0.375,3,no_label,22
21,CR,0.375,3,label,23
21,CR,0.375,4,no_label,20
21,CR,0.375,4,label,21
21,CR,0.375,5,no_label,18
21,CR,0.375,5,label,19
21,CR,0.375,6,no_label,16
21,CR,0.375,6,label,16
21,CR,0.375,7,no_label,14
21,CR,0.375,7,label,14
22,LaF,0.375,0,label,31
22,LaF,0.375,0,no_label,27
22,LaF,0.375,1,label,25
22,LaF,0.375,1,no_label,25
22,LaF,0.375,2,label,23
22,LaF,0.375,2,no_label,23
22,LaF,0.375,3,label,21
22,LaF,0.375,3,no_label,21
22,LaF,0.375,4,label,19
22,LaF,0.375,4,no_label,18
22,LaF,0.375,5,label,17
22,LaF,0.375,5,no_label,16
22,LaF,0.375,6,label,15
22,LaF,0.375,6,no_label,14
22,LaF,0.375,7,label,13
22,LaF,0.375,7,no_label,12
23,CR,0.375,0,label,29
23,CR,0.375,0,no_label,33
23,CR,0.375,1,label,28
23,CR,0.375,1,no_label,30
23,CR,0.375,2,label,26
23,CR,0.375,2,no_label,27
23,CR,0.375,3,label,23
23,CR,0.375,3,no_label,24
23,CR,0.375,4,label,21
23,CR,0.375,4,no_label,22
23,CR,0.375,5,label,18
23,CR,0.375,5,no_label,19
23,CR,0.375,6,label,16
23,CR,0.375,6,no_label,16
23,CR,0.375,7,label,13
23,CR,0.375,7,no_label,14
24,LaF,0.375,0,no_label,31
24,LaF,0.375,0,label,30
24,LaF,0.375,1,no_label,31
24,LaF,0.375,1,label,28
24,LaF,0.375,2,no_label,29
24,LaF,0.375,2,label,26
24,LaF,0.375,3,no_label,26
24,LaF,0.375,3,label,24
24,LaF,0.375,4,no_label,24
24,LaF,0.375,4,label,22
24,LaF,0.375,5,no_label,22
24,LaF,0.375,5,label,20
24,LaF,0.375,6,no_label,20
24,LaF,0.375,6,label,19
24,LaF,0.375,7,no_label,18
24,LaF,0.375,7,label,17
25,CR,0.375,0,no_label,34
25,CR,0.375,0,label,33
