subject,model,explo_overlap,trial,labelled,looking_time
11,LaF,0.375,1,no_label,31
11,LaF,0.375,2,label,34
11,LaF,0.375,2,no_label,30
11,LaF,0.375,3,label,32
11,LaF,0.375,3,no_label,28
11,LaF,0.375,4,label,31
11,LaF,0.375,4,no_label,27
11,LaF,0.375,5,label,29
11,LaF,0.375,5,no_label,25
11,LaF,0.375,6,label,27
11,LaF,0.375,6,no_label,24
11,LaF,0.375,7,label,26
11,LaF,0.375,7,no_label,22
12,LaF,0.375,0,no_label,32
12,LaF,0.375,0,label,32
12,LaF,0.375,1,no_label,30
12,LaF,0.375,1,label,30
12,LaF,0.375,2,no_label,29
12,LaF,0.375,2,label,29
12,LaF,0.375,3,no_label,27
12,LaF,0.375,3,label,27
12,LaF,0.375,4,no_label,26
12,LaF,0.375,4,label,25
12,LaF,0.375,5,no_label,24
12,LaF,0.375,5,label,24
12,LaF,0.375,6,no_label,23
12,LaF,0.375,6,label,22
12,LaF,0.375,7,no_label,21
12,LaF,0.375,7,label,21
13,LaF,0.375,0,label,39
13,LaF,0.375,0,no_label,31
13,LaF,0.375,1,label,37
13,LaF,0.375,1,no_label,29
13,LaF,0.375,2,label,36
13,LaF,0.375,2,no_label,27
13,LaF,0.375,3,label,34
13,LaF,0.375,3,no_label,26
13,LaF,0.375,4,label,32
13,LaF,0.375,4,no_label,24
13,LaF,0.375,5,label,30
13,LaF,0.375,5,no_label,22
13,LaF,0.375,6,label,28
13,LaF,0.375,6,no_label,21
13,LaF,0.375,7,label,26
13,LaF,0.375,7,no_label,19
14,LaF,0.375,0,no_label,34
14,LaF,0.375,0,label,32
14,LaF,0.375,1,no_label,33
14,LaF,0.375,1,label,30
14,LaF,0.375,2,no_label,31
14,LaF,0.375,2,label,28
14,LaF,0.375,3,no_label,29
14,LaF,0.375,3,label,26
14,LaF,0.375,4,no_label,27
14,LaF,0.375,4,label,25
14,LaF,0.375,5,no_label,25
14,LaF,0.375,5,label,23
14,LaF,0.375,6,no_label,23
14,LaF,0.375,6,label,21
14,LaF,0.375,7,no_label,21
14,LaF,0.375,7,label,19
15,LaF,0.375,0,label,35
15,LaF,0.375,0,no_label,33
15,LaF,0.375,1,label,31
15,LaF,0.375,1,no_label,32
15,LaF,0.375,2,label,30
15,LaF,0.375,2,no_label,31
15,LaF,0.375,3,label,28
15,LaF,0.375,3,no_label,30
15,LaF,0.375,4,label,27
15,LaF,0.375,4,no_label,29
15,LaF,0.375,5,label,26
15,LaF,0.375,5,no_label,27
15,LaF,0.375,6,label,25
15,LaF,0.375,6,no_label,26
15,LaF,0.375,7,label,24
15,LaF,0.375,7,no_label,25
16,LaF,0.375,0,no_label,36
16,LaF,0.375,0,label,32
16,LaF,0.375,1,no_label,36
16,LaF,0.375,1,label,31
16,LaF,0.375,2,no_label,34
16,LaF,0.375,2,label,29
16,LaF,0.375,3,no_label,33
16,LaF,0.375,3,label,27
16,LaF,0.375,4,no_label,31
16,LaF,0.375,4,label,26
16,LaF,0.375,5,no_label,29
16,LaF,0.375,5,label,24
16,LaF,0.375,6,no_label,27
16,LaF,0.375,6,label,22
16,LaF,0.375,7,no_label,25
16,LaF,0.375,7,label,21
17,LaF,0.5,0,label,40
17,LaF,0.5,0,no_label,31
17,LaF,0.5,1,label,36
17,LaF,0.5,1,no_label,30
17,LaF,0.5,2,label,34
17,LaF,0.5,2,no_label,29
17,LaF,0.5,3,label,32
17,LaF,0.5,3,no_label,28
17,LaF,0.5,4,label,31
17,LaF,0.5,4,no_label,27
17,LaF,0.5,5,label,29
17,LaF,0.5,5,no_label,25
17,LaF,0.5,6,label,27
17,LaF,0.5,6,no_label,24
17,LaF,0.5,7,label,26
17,LaF,0.5,7,no_label,23
18,LaF,0.5,0,no_label,34
18,LaF,0.5,0,label,34
18,LaF,0.5,1,no_label,31
18,LaF,0.5,1,label,33
18,LaF,0.5,2,no_label,29
18,LaF,0.5,2,label,31
18,LaF,0.5,3,no_label,27
18,LaF,0.5,3,label,29
18,LaF,0.5,4,no_label,25
18,LaF,0.5,4,label,27
18,LaF,0.5,5,no_label,24
18,LaF,0.5,5,label,26
18,LaF,0.5,6,no_label,22
18,LaF,0.5,6,label,24
18,LaF,0.5,7,no_label,20
18,LaF,0.5,7,label,22
19,LaF,0.5,0,label,41
19,LaF,0.5,0,no_label,32
19,LaF,0.5,1,label,36
19,LaF,0.5,1,no_label,31
19,LaF,0.5,2,label,34
19,LaF,0.5,2,no_label,30
19,LaF,0.5,3,label,32
19,LaF,0.5,3,no_label,28
19,LaF,0.5,4,label,31
19,LaF,0.5,4,no_label,27
19,LaF,0.5,5,label,29
19,LaF,0.5,5,no_label,25
19,LaF,0.5,6,label,27
19,LaF,0.5,6,no_label,24
19,LaF,0.5,7,label,26
19,LaF,0.5,7,no_label,22
20,LaF,0.5,0,no_label,32
20,LaF,0.5,0,label,32
20,LaF,0.5,1,no_label,30
20,LaF,0.5,1,label,30
20,LaF,0.5,2,no_label,29
20,LaF,0.5,2,label,29
20,LaF,0.5,3,no_label,27
20,LaF,0.5,3,label,27
20,LaF,0.5,4,no_label,26
20,LaF,0.5,4,label,25
20,LaF,0.5,5,no_label,24
20,LaF,0.5,5,label,24
20,LaF,0.5,6,no_label,23
20,LaF,0.5,6,label,22
20,LaF,0.5,7,no_label,21
20,LaF,0.5,7,label,21
21,LaF,0.5,0,label,39
21,LaF,0.5,0,no_label,31
21,LaF,0.5,1,label,37
21,LaF,0.5,1,no_label,29
21,LaF,0.5,2,label,36
21,LaF,0.5,2,no_label,27
21,LaF,0.5,3,label,34
21,LaF,0.5,3,no_label,26
21,LaF,0.5,4,label,32
21,LaF,0.5,4,no_label,24
21,LaF,0.5,5,label,30
21,LaF,0.5,5,no_label,22
21,LaF,0.5,6,label,28
21,LaF,0.5,6,no_label,21
21,LaF,0.5,7,label,26
21,LaF,0.5,7,no_label,19
22,LaF,0.5,0,no_label,34
22,LaF,0.5,0,label,32
22,LaF,0.5,1,no_label,33
22,LaF,0.5,1,label,30
22,LaF,0.5,2,no_label,31
22,LaF,0.5,2,label,28
22,LaF,0.5,3,no_label,29
22,LaF,0.5,3,label,26
22,LaF,0.5,4,no_label,27
22,LaF,0.5,4,label,25
22,LaF,0.5,5,no_label,25
22,LaF,0.5,5,label,23
22,LaF,0.5,6,no_label,23
22,LaF,0.5,6,label,21
22,LaF,0.5,7,no_label,21
22,LaF,0.5,7,label,19
