"subject","theory","step","dist_type","mu"
0,"LaF_ignore_missing",1100,"r_labelled",0
0,"LaF_ignore_missing",1100,"r_unlabelled",0
0,"LaF_ignore_missing",1200,"labelled",0.184497341549016
0,"LaF_ignore_missing",1200,"unlabelled",0.214800663517354
0,"LaF_ignore_missing",1200,"between",1.55004742189133
0,"LaF_ignore_missing",1200,"r_labelled",0
0,"LaF_ignore_missing",1200,"r_unlabelled",0
0,"LaF_ignore_missing",1300,"labelled",0.186584605782358
0,"LaF_ignore_missing",1300,"unlabelled",0.218987199963729
0,"LaF_ignore_missing",1300,"between",1.55803094845594
0,"LaF_ignore_missing",1300,"r_labelled",0
0,"LaF_ignore_missing",1300,"r_unlabelled",0
0,"LaF_ignore_missing",1400,"labelled",0.189012937983698
0,"LaF_ignore_missing",1400,"unlabelled",0.223289757790227
0,"LaF_ignore_missing",1400,"between",1.56305187004566
0,"LaF_ignore_missing",1400,"r_labelled",0
0,"LaF_ignore_missing",1400,"r_unlabelled",0
0,"LaF_ignore_missing",1500,"labelled",0.191722396394624
0,"LaF_ignore_missing",1500,"unlabelled",0.227732706808841
0,"LaF_ignore_missing",1500,"between",1.5660578827974
0,"LaF_ignore_missing",1500,"r_labelled",0
0,"LaF_ignore_missing",1500,"r_unlabelled",0
0,"LaF_ignore_missing",1600,"labelled",0.194671799754846
0,"LaF_ignore_missing",1600,"unlabelled",0.232325598666889
0,"LaF_ignore_missing",1600,"between",1.56770080420918
0,"LaF_ignore_missing",1600,"r_labelled",0
0,"LaF_ignore_missing",1600,"r_unlabelled",0
0,"LaF_ignore_missing",1700,"labelled",0.197832310450657
0,"LaF_ignore_missing",1700,"unlabelled",0.237069736737597
0,"LaF_ignore_missing",1700,"between",1.5684227763752
0,"LaF_ignore_missing",1700,"r_labelled",0
0,"LaF_ignore_missing",1700,"r_unlabelled",0
0,"LaF_ignore_missing",1800,"labelled",0.201183132639653
0,"LaF_ignore_missing",1800,"unlabelled",0.241962032411384
0,"LaF_ignore_missing",1800,"between",1.56852138157317
0,"LaF_ignore_missing",1800,"r_labelled",0
0,"LaF_ignore_missing",1800,"r_unlabelled",0
1,"LaF_treat_missing",0,"labelled",0.20271362700708
1,"LaF_treat_missing",0,"unlabelled",0.244160240231914
1,"LaF_treat_missing",0,"between",1.56842135565892
