subject,model,explo_overlap,trial,labelled,i_presentation,error
1,LaF,0.25,4,label,18,0.00591058460105
1,LaF,0.25,4,label,19,0.00464747387646
1,LaF,0.25,4,label,20,0.00365521978575
1,LaF,0.25,4,label,21,0.00287466044233
1,LaF,0.25,4,label,22,0.00226117274951
1,LaF,0.25,4,label,23,0.00177860404463
1,LaF,0.25,4,label,24,0.0013991944557
1,LaF,0.25,4,label,25,0.00110074480302
1,LaF,0.25,4,label,26,0.000866036011048
1,LaF,0.25,4,no_label,0,0.581479955183
1,LaF,0.25,4,no_label,1,0.231892378799
1,LaF,0.25,4,no_label,2,0.268163338794
1,LaF,0.25,4,no_label,3,0.17578040258
1,LaF,0.25,4,no_label,4,0.151221525197
1,LaF,0.25,4,no_label,5,0.112811249445
1,LaF,0.25,4,no_label,6,0.0906978224467
1,LaF,0.25,4,no_label,7,0.0699973535805
1,LaF,0.25,4,no_label,8,0.0553141636435
1,LaF,0.25,4,no_label,9,0.0431028005567
1,LaF,0.25,4,no_label,10,0.0338975682873
1,LaF,0.25,4,no_label,11,0.0265002178249
1,LaF,0.25,4,no_label,12,0.0208092895855
1,LaF,0.25,4,no_label,13,0.0162911117631
1,LaF,0.25,4,no_label,14,0.0127859006052
1,LaF,0.25,4,no_label,15,0.0100176196777
1,LaF,0.25,4,no_label,16,0.00786082599668
1,LaF,0.25,4,no_label,17,0.00616204231702
1,LaF,0.25,4,no_label,18,0.00483520236942
1,LaF,0.25,4,no_label,19,0.00379169416969
1,LaF,0.25,4,no_label,20,0.00297536584591
1,LaF,0.25,4,no_label,21,0.00233391104565
1,LaF,0.25,4,no_label,22,0.00183157432654
1,LaF,0.25,4,no_label,23,0.00143704269211
1,LaF,0.25,4,no_label,24,0.00112785050011
1,LaF,0.25,4,no_label,25,0.000885077636843
1,LaF,0.25,5,label,0,0.492553298377
1,LaF,0.25,5,label,1,0.199607139176
1,LaF,0.25,5,label,2,0.22808527713
1,LaF,0.25,5,label,3,0.151419486412
1,LaF,0.25,5,label,4,0.129601078389
1,LaF,0.25,5,label,5,0.0974942051912
1,LaF,0.25,5,label,6,0.0782827609529
1,LaF,0.25,5,label,7,0.0607708164618
1,LaF,0.25,5,label,8,0.0480470495272
1,LaF,0.25,5,label,9,0.0376123783736
1,LaF,0.25,5,label,10,0.0296196310193
1,LaF,0.25,5,label,11,0.0232464065647
1,LaF,0.25,5,label,12,0.0182870892675
1,LaF,0.25,5,label,13,0.0143664084826
1,LaF,0.25,5,label,14,0.0112985850674
1,LaF,0.25,5,label,15,0.00888059750684
1,LaF,0.25,5,label,16,0.00698412016297
1,LaF,0.25,5,label,17,0.00549116078803
1,LaF,0.25,5,label,18,0.00431880680594
1,LaF,0.25,5,label,19,0.00339635888356
1,LaF,0.25,5,label,20,0.00267150689678
1,LaF,0.25,5,label,21,0.0021012767094
1,LaF,0.25,5,label,22,0.00165300098032
1,LaF,0.25,5,label,23,0.0013003634965
1,LaF,0.25,5,label,24,0.00102306213388
1,LaF,0.25,5,label,25,0.000804914991922
1,LaF,0.25,5,no_label,0,0.422656824746
1,LaF,0.25,5,no_label,1,0.168544956907
1,LaF,0.25,5,no_label,2,0.194847383884
