subject,theory,explo_overlap,trial,labelled,looking_time
11,CR,0,7,no_label,24
12,LaF,0,0,no_label,38
12,LaF,0,0,label,33
12,LaF,0,1,no_label,38
12,LaF,0,1,label,32
12,LaF,0,2,no_label,36
12,LaF,0,2,label,31
12,LaF,0,3,no_label,34
12,LaF,0,3,label,29
12,LaF,0,4,no_label,33
12,LaF,0,4,label,28
12,LaF,0,5,no_label,31
12,LaF,0,5,label,27
12,LaF,0,6,no_label,30
12,LaF,0,6,label,26
12,LaF,0,7,no_label,28
12,LaF,0,7,label,24
13,CR,0,0,no_label,40
13,CR,0,0,label,40
13,CR,0,1,no_label,40
13,CR,0,1,label,39
13,CR,0,2,no_label,40
13,CR,0,2,label,36
13,CR,0,3,no_label,39
13,CR,0,3,label,33
13,CR,0,4,no_label,35
13,CR,0,4,label,31
13,CR,0,5,no_label,32
13,CR,0,5,label,28
13,CR,0,6,no_label,29
13,CR,0,6,label,25
13,CR,0,7,no_label,26
13,CR,0,7,label,22
14,LaF,0,0,label,35
14,LaF,0,0,no_label,38
14,LaF,0,1,label,32
14,LaF,0,1,no_label,35
14,LaF,0,2,label,31
14,LaF,0,2,no_label,34
14,LaF,0,3,label,29
14,LaF,0,3,no_label,32
14,LaF,0,4,label,28
14,LaF,0,4,no_label,31
14,LaF,0,5,label,27
14,LaF,0,5,no_label,29
14,LaF,0,6,label,25
14,LaF,0,6,no_label,27
14,LaF,0,7,label,24
14,LaF,0,7,no_label,26
15,CR,0,0,label,37
15,CR,0,0,no_label,40
15,CR,0,1,label,40
15,CR,0,1,no_label,40
15,CR,0,2,label,38
15,CR,0,2,no_label,40
15,CR,0,3,label,35
15,CR,0,3,no_label,37
15,CR,0,4,label,32
15,CR,0,4,no_label,34
15,CR,0,5,label,30
15,CR,0,5,no_label,31
15,CR,0,6,label,27
15,CR,0,6,no_label,28
15,CR,0,7,label,24
15,CR,0,7,no_label,25
16,LaF,0,0,no_label,40
16,LaF,0,0,label,40
16,LaF,0,1,no_label,40
16,LaF,0,1,label,40
16,LaF,0,2,no_label,38
16,LaF,0,2,label,40
16,LaF,0,3,no_label,35
16,LaF,0,3,label,40
16,LaF,0,4,no_label,32
16,LaF,0,4,label,36
16,LaF,0,5,no_label,30
16,LaF,0,5,label,33
16,LaF,0,6,no_label,27
16,LaF,0,6,label,30
16,LaF,0,7,no_label,24
16,LaF,0,7,label,26
17,CR,0,0,no_label,39
17,CR,0,0,label,40
17,CR,0,1,no_label,40
17,CR,0,1,label,40
17,CR,0,2,no_label,40
17,CR,0,2,label,40
17,CR,0,3,no_label,37
17,CR,0,3,label,38
17,CR,0,4,no_label,35
17,CR,0,4,label,35
17,CR,0,5,no_label,32
17,CR,0,5,label,32
17,CR,0,6,no_label,29
17,CR,0,6,label,29
17,CR,0,7,no_label,26
17,CR,0,7,label,26
18,LaF,0,0,label,40
18,LaF,0,0,no_label,40
18,LaF,0,1,label,40
18,LaF,0,1,no_label,39
18,LaF,0,2,label,40
18,LaF,0,2,no_label,37
18,LaF,0,3,label,40
18,LaF,0,3,no_label,35
18,LaF,0,4,label,38
18,LaF,0,4,no_label,33
18,LaF,0,5,label,36
18,LaF,0,5,no_label,31
18,LaF,0,6,label,33
18,LaF,0,6,no_label,29
18,LaF,0,7,label,31
18,LaF,0,7,no_label,26
19,CR,0,0,label,39
19,CR,0,0,no_label,36
19,CR,0,1,label,35
19,CR,0,1,no_label,33
19,CR,0,2,label,32
19,CR,0,2,no_label,30
19,CR,0,3,label,29
19,CR,0,3,no_label,28
19,CR,0,4,label,26
19,CR,0,4,no_label,25
19,CR,0,5,label,24
19,CR,0,5,no_label,22
19,CR,0,6,label,21
19,CR,0,6,no_label,19
19,CR,0,7,label,18
19,CR,0,7,no_label,17
20,LaF,0,0,no_label,39
20,LaF,0,0,label,33
20,LaF,0,1,no_label,34
20,LaF,0,1,label,32
20,LaF,0,2,no_label,33
20,LaF,0,2,label,31
20,LaF,0,3,no_label,31
20,LaF,0,3,label,30
20,LaF,0,4,no_label,29
20,LaF,0,4,label,28
20,LaF,0,5,no_label,27
20,LaF,0,5,label,27
20,LaF,0,6,no_label,26
20,LaF,0,6,label,25
20,LaF,0,7,no_label,24
20,LaF,0,7,label,24
21,CR,0,0,no_label,39
21,CR,0,0,label,38
21,CR,0,1,no_label,36
21,CR,0,1,label,35
21,CR,0,2,no_label,32
21,CR,0,2,label,31
21,CR,0,3,no_label,29
21,CR,0,3,label,28
21,CR,0,4,no_label,26
21,CR,0,4,label,25
21,CR,0,5,no_label,23
21,CR,0,5,label,21
21,CR,0,6,no_label,19
21,CR,0,6,label,18
21,CR,0,7,no_label,16
21,CR,0,7,label,15
22,LaF,0,0,label,39
22,LaF,0,0,no_label,32
22,LaF,0,1,label,31
22,LaF,0,1,no_label,30
22,LaF,0,2,label,29
22,LaF,0,2,no_label,28
22,LaF,0,3,label,27
22,LaF,0,3,no_label,26
22,LaF,0,4,label,26
22,LaF,0,4,no_label,24
22,LaF,0,5,label,24
22,LaF,0,5,no_label,22
22,LaF,0,6,label,22
22,LaF,0,6,no_label,20
22,LaF,0,7,label,20
22,LaF,0,7,no_label,19
23,CR,0,0,label,40
23,CR,0,0,no_label,36
23,CR,0,1,label,36
23,CR,0,1,no_label,33
23,CR,0,2,label,32
23,CR,0,2,no_label,29
23,CR,0,3,label,29
23,CR,0,3,no_label,26
23,CR,0,4,label,25
23,CR,0,4,no_label,23
23,CR,0,5,label,22
23,CR,0,5,no_label,20
23,CR,0,6,label,19
23,CR,0,6,no_label,17
23,CR,0,7,label,16
23,CR,0,7,no_label,14
24,LaF,0,0,no_label,40
24,LaF,0,0,label,40
24,LaF,0,1,no_label,40
24,LaF,0,1,label,40
24,LaF,0,2,no_label,39
24,LaF,0,2,label,37
24,LaF,0,3,no_label,36
24,LaF,0,3,label,34
24,LaF,0,4,no_label,33
24,LaF,0,4,label,31
24,LaF,0,5,no_label,30
24,LaF,0,5,label,29
24,LaF,0,6,no_label,28
24,LaF,0,6,label,26
24,LaF,0,7,no_label,25
24,LaF,0,7,label,23
25,CR,0,0,no_label,40
25,CR,0,0,label,40
25,CR,0,1,no_label,39
25,CR,0,1,label,40
25,CR,0,2,no_label,36
25,CR,0,2,label,37
25,CR,0,3,no_label,33
25,CR,0,3,label,34
25,CR,0,4,no_label,31
25,CR,0,4,label,30
25,CR,0,5,no_label,28
25,CR,0,5,label,27
25,CR,0,6,no_label,25
25,CR,0,6,label,24
25,CR,0,7,no_label,22
25,CR,0,7,label,21
26,LaF,0,0,label,40
26,LaF,0,0,no_label,40
26,LaF,0,1,label,40
26,LaF,0,1,no_label,40
26,LaF,0,2,label,40
26,LaF,0,2,no_label,40
26,LaF,0,3,label,37
26,LaF,0,3,no_label,36
26,LaF,0,4,label,34
26,LaF,0,4,no_label,33
26,LaF,0,5,label,31
26,LaF,0,5,no_label,29
26,LaF,0,6,label,27
26,LaF,0,6,no_label,26
26,LaF,0,7,label,24
26,LaF,0,7,no_label,23
27,CR,0,0,label,40
27,CR,0,0,no_label,40
27,CR,0,1,label,40
27,CR,0,1,no_label,40
27,CR,0,2,label,40
27,CR,0,2,no_label,40
27,CR,0,3,label,40
27,CR,0,3,no_label,37
27,CR,0,4,label,38
27,CR,0,4,no_label,33
27,CR,0,5,label,33
27,CR,0,5,no_label,28
27,CR,0,6,label,28
27,CR,0,6,no_label,24
27,CR,0,7,label,23
27,CR,0,7,no_label,19
28,LaF,0,0,no_label,40
28,LaF,0,0,label,40
28,LaF,0,1,no_label,38
28,LaF,0,1,label,40
28,LaF,0,2,no_label,36
28,LaF,0,2,label,38
28,LaF,0,3,no_label,34
28,LaF,0,3,label,37
28,LaF,0,4,no_label,32
28,LaF,0,4,label,35
28,LaF,0,5,no_label,30
28,LaF,0,5,label,32
28,LaF,0,6,no_label,28
28,LaF,0,6,label,30
28,LaF,0,7,no_label,27
28,LaF,0,7,label,28
29,CR,0,0,no_label,40
29,CR,0,0,label,40
29,CR,0,1,no_label,40
29,CR,0,1,label,39
29,CR,0,2,no_label,40
29,CR,0,2,label,36
29,CR,0,3,no_label,40
29,CR,0,3,label,32
29,CR,0,4,no_label,37
29,CR,0,4,label,28
29,CR,0,5,no_label,32
29,CR,0,5,label,24
29,CR,0,6,no_label,28
29,CR,0,6,label,21
29,CR,0,7,no_label,23
29,CR,0,7,label,17
30,LaF,0,0,label,40
30,LaF,0,0,no_label,40
30,LaF,0,1,label,40
30,LaF,0,1,no_label,40
30,LaF,0,2,label,39
30,LaF,0,2,no_label,40
30,LaF,0,3,label,35
30,LaF,0,3,no_label,38
30,LaF,0,4,label,32
30,LaF,0,4,no_label,34
30,LaF,0,5,label,28
30,LaF,0,5,no_label,30
30,LaF,0,6,label,25
30,LaF,0,6,no_label,27
30,LaF,0,7,label,22
30,LaF,0,7,no_label,23
31,CR,0,0,label,40
31,CR,0,0,no_label,40
31,CR,0,1,label,38
31,CR,0,1,no_label,40
31,CR,0,2,label,35
31,CR,0,2,no_label,40
31,CR,0,3,label,31
31,CR,0,3,no_label,36
31,CR,0,4,label,27
31,CR,0,4,no_label,31
31,CR,0,5,label,24
31,CR,0,5,no_label,27
31,CR,0,6,label,20
31,CR,0,6,no_label,22
31,CR,0,7,label,17
31,CR,0,7,no_label,18
32,LaF,0,0,no_label,40
32,LaF,0,0,label,40
32,LaF,0,1,no_label,40
32,LaF,0,1,label,40
