subject,theory,step,labelled,exemplar,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10
0,LaF,100,label,0,0.414335542349,0.940664462024,0.737521417992,0.527502817882,0.607174577617,0.451612926156,0.537231684623,0.114389931556,0.229205931385,0.459468383102,0.111024910736
0,LaF,100,label,1,0.477881268535,0.947381628028,0.750952906053,0.349665348278,0.754159019844,0.466082211425,0.245343484507,0.125338621585,0.17630458944,0.738339811937,0.0722127097355
0,LaF,100,label,2,0.424192138243,0.913532962107,0.565321845846,0.380674730869,0.495766243425,0.555180892908,0.69018062555,0.109293249694,0.235649658971,0.423887921098,0.0733593180293
0,LaF,100,label,3,0.266525075341,0.955634726235,0.32981068991,0.473336320587,0.495029874309,0.140241738984,0.836837028175,0.0726304701506,0.151655544921,0.673050524005,0.213887059471
0,LaF,100,no_label,4,0.418868325142,0.0418906306817,0.183942865778,0.226341885218,0.119488350712,0.768687598652,0.14578798862,0.802717662392,0.371118280923,0.173221716373,0.34017404991
0,LaF,100,no_label,5,0.298150457949,0.0308383795269,0.100918571581,0.465531368599,0.123906071094,0.807479609509,0.319202577472,0.723140963751,0.328296519517,0.1361495069,0.462017753367
0,LaF,100,no_label,6,0.234326883574,0.0345901782222,0.122222538133,0.417173144273,0.165288477272,0.447067897029,0.204199220651,0.743646370512,0.229235762528,0.357707516362,0.542968832997
0,LaF,100,no_label,7,0.223212371412,0.0350948426808,0.0680331062616,0.549270124459,0.0801317634647,0.534470804403,0.52935063015,0.687802811577,0.28752292037,0.124010419398,0.652910067769
0,LaF,200,label,0,0.359480918172,0.942149521356,0.822226532766,0.605673968756,0.472361582235,0.370468237194,0.523395920259,0.0963905051126,0.277668610951,0.362085760914,0.0923708231504
0,LaF,200,label,1,0.428500516101,0.94376156867,0.783546538803,0.383586003704,0.690627993587,0.405087032711,0.202723229639,0.114277598556,0.194347710884,0.738049066866,0.0505892324742
0,LaF,200,label,2,0.385894978634,0.922573376431,0.64108344564,0.380975180644,0.379338600096,0.551613330154,0.710471146717,0.0848313451675,0.27980422389,0.396583038111,0.0442789914549
0,LaF,200,label,3,0.230531115527,0.959026092432,0.304433291068,0.414402561407,0.390926317294,0.121954162268,0.825534741132,0.0656744188469,0.161974805453,0.701006316818,0.163804079575
0,LaF,200,no_label,4,0.522978245672,0.0415213397562,0.205371750132,0.220381552911,0.0873786993762,0.630280754217,0.171933522213,0.797538506554,0.460254115787,0.202878822397,0.260452983427
0,LaF,200,no_label,5,0.315986743229,0.0288990374166,0.098119795073,0.688528701849,0.125229818432,0.831864553769,0.361191775536,0.622555745075,0.33090143601,0.173630022522,0.37864937519
0,LaF,200,no_label,6,0.233165197337,0.0293690690663,0.144582584065,0.537506910189,0.135122073172,0.329326089205,0.169169811679,0.751591951164,0.26621249477,0.502731781867,0.492946297772
