subject,model,explo_overlap,trial,labelled,looking_time
11,LaF,0.375,1,no_label,36
11,LaF,0.375,2,label,48
11,LaF,0.375,2,no_label,44
11,LaF,0.375,3,label,51
11,LaF,0.375,3,no_label,48
11,LaF,0.375,4,label,52
11,LaF,0.375,4,no_label,50
11,LaF,0.375,5,label,51
11,LaF,0.375,5,no_label,48
11,LaF,0.375,6,label,48
11,LaF,0.375,6,no_label,45
11,LaF,0.375,7,label,44
11,LaF,0.375,7,no_label,41
12,LaF,0.375,0,no_label,54
12,LaF,0.375,0,label,60
12,LaF,0.375,1,no_label,53
12,LaF,0.375,1,label,61
12,LaF,0.375,2,no_label,61
12,LaF,0.375,2,label,72
12,LaF,0.375,3,no_label,67
12,LaF,0.375,3,label,82
12,LaF,0.375,4,no_label,69
12,LaF,0.375,4,label,85
12,LaF,0.375,5,no_label,66
12,LaF,0.375,5,label,83
12,LaF,0.375,6,no_label,61
12,LaF,0.375,6,label,76
12,LaF,0.375,7,no_label,55
12,LaF,0.375,7,label,69
13,LaF,0.375,0,label,54
13,LaF,0.375,0,no_label,38
13,LaF,0.375,1,label,47
13,LaF,0.375,1,no_label,40
13,LaF,0.375,2,label,50
13,LaF,0.375,2,no_label,45
13,LaF,0.375,3,label,55
13,LaF,0.375,3,no_label,49
13,LaF,0.375,4,label,58
13,LaF,0.375,4,no_label,49
13,LaF,0.375,5,label,57
13,LaF,0.375,5,no_label,47
13,LaF,0.375,6,label,54
13,LaF,0.375,6,no_label,44
13,LaF,0.375,7,label,49
13,LaF,0.375,7,no_label,40
14,LaF,0.375,0,no_label,38
14,LaF,0.375,0,label,38
14,LaF,0.375,1,no_label,38
14,LaF,0.375,1,label,40
14,LaF,0.375,2,no_label,36
14,LaF,0.375,2,label,48
14,LaF,0.375,3,no_label,39
14,LaF,0.375,3,label,53
14,LaF,0.375,4,no_label,39
14,LaF,0.375,4,label,54
14,LaF,0.375,5,no_label,37
14,LaF,0.375,5,label,51
14,LaF,0.375,6,no_label,34
14,LaF,0.375,6,label,46
14,LaF,0.375,7,no_label,31
14,LaF,0.375,7,label,41
15,LaF,0.375,0,label,65
15,LaF,0.375,0,no_label,55
15,LaF,0.375,1,label,58
15,LaF,0.375,1,no_label,60
15,LaF,0.375,2,label,69
15,LaF,0.375,2,no_label,74
15,LaF,0.375,3,label,81
15,LaF,0.375,3,no_label,85
15,LaF,0.375,4,label,89
15,LaF,0.375,4,no_label,90
15,LaF,0.375,5,label,89
15,LaF,0.375,5,no_label,88
15,LaF,0.375,6,label,85
15,LaF,0.375,6,no_label,82
15,LaF,0.375,7,label,77
15,LaF,0.375,7,no_label,74
16,LaF,0.375,0,no_label,71
16,LaF,0.375,0,label,40
16,LaF,0.375,1,no_label,50
16,LaF,0.375,1,label,42
16,LaF,0.375,2,no_label,54
16,LaF,0.375,2,label,51
16,LaF,0.375,3,no_label,60
16,LaF,0.375,3,label,60
16,LaF,0.375,4,no_label,63
16,LaF,0.375,4,label,64
16,LaF,0.375,5,no_label,62
16,LaF,0.375,5,label,64
16,LaF,0.375,6,no_label,59
16,LaF,0.375,6,label,60
16,LaF,0.375,7,no_label,54
16,LaF,0.375,7,label,55
17,LaF,0.5,0,label,50
17,LaF,0.5,0,no_label,63
17,LaF,0.5,1,label,38
17,LaF,0.5,1,no_label,44
17,LaF,0.5,2,label,41
17,LaF,0.5,2,no_label,54
17,LaF,0.5,3,label,44
17,LaF,0.5,3,no_label,63
17,LaF,0.5,4,label,45
17,LaF,0.5,4,no_label,68
17,LaF,0.5,5,label,44
17,LaF,0.5,5,no_label,68
17,LaF,0.5,6,label,41
17,LaF,0.5,6,no_label,64
17,LaF,0.5,7,label,38
17,LaF,0.5,7,no_label,59
18,LaF,0.5,0,no_label,40
18,LaF,0.5,0,label,42
18,LaF,0.5,1,no_label,40
18,LaF,0.5,1,label,47
18,LaF,0.5,2,no_label,47
18,LaF,0.5,2,label,55
18,LaF,0.5,3,no_label,52
18,LaF,0.5,3,label,60
18,LaF,0.5,4,no_label,53
18,LaF,0.5,4,label,60
18,LaF,0.5,5,no_label,51
18,LaF,0.5,5,label,57
18,LaF,0.5,6,no_label,47
18,LaF,0.5,6,label,52
18,LaF,0.5,7,no_label,42
18,LaF,0.5,7,label,46
19,LaF,0.5,0,label,59
19,LaF,0.5,0,no_label,38
19,LaF,0.5,1,label,43
19,LaF,0.5,1,no_label,36
19,LaF,0.5,2,label,48
19,LaF,0.5,2,no_label,44
19,LaF,0.5,3,label,51
19,LaF,0.5,3,no_label,48
19,LaF,0.5,4,label,52
19,LaF,0.5,4,no_label,50
19,LaF,0.5,5,label,51
19,LaF,0.5,5,no_label,48
19,LaF,0.5,6,label,48
19,LaF,0.5,6,no_label,45
19,LaF,0.5,7,label,44
19,LaF,0.5,7,no_label,41
20,LaF,0.5,0,no_label,54
20,LaF,0.5,0,label,60
20,LaF,0.5,1,no_label,53
20,LaF,0.5,1,label,61
20,LaF,0.5,2,no_label,61
20,LaF,0.5,2,label,72
20,LaF,0.5,3,no_label,67
20,LaF,0.5,3,label,82
20,LaF,0.5,4,no_label,69
20,LaF,0.5,4,label,85
20,LaF,0.5,5,no_label,66
20,LaF,0.5,5,label,83
20,LaF,0.5,6,no_label,61
20,LaF,0.5,6,label,76
20,LaF,0.5,7,no_label,55
20,LaF,0.5,7,label,69
21,LaF,0.5,0,label,54
21,LaF,0.5,0,no_label,38
21,LaF,0.5,1,label,47
21,LaF,0.5,1,no_label,40
21,LaF,0.5,2,label,50
21,LaF,0.5,2,no_label,45
21,LaF,0.5,3,label,55
21,LaF,0.5,3,no_label,49
21,LaF,0.5,4,label,58
21,LaF,0.5,4,no_label,49
21,LaF,0.5,5,label,57
21,LaF,0.5,5,no_label,47
21,LaF,0.5,6,label,54
21,LaF,0.5,6,no_label,44
21,LaF,0.5,7,label,49
21,LaF,0.5,7,no_label,40
22,LaF,0.5,0,no_label,38
22,LaF,0.5,0,label,38
22,LaF,0.5,1,no_label,38
22,LaF,0.5,1,label,40
22,LaF,0.5,2,no_label,36
22,LaF,0.5,2,label,48
22,LaF,0.5,3,no_label,39
22,LaF,0.5,3,label,53
22,LaF,0.5,4,no_label,39
22,LaF,0.5,4,label,54
22,LaF,0.5,5,no_label,37
22,LaF,0.5,5,label,51
22,LaF,0.5,6,no_label,34
22,LaF,0.5,6,label,46
22,LaF,0.5,7,no_label,31
22,LaF,0.5,7,label,41
23,LaF,0.5,0,label,65
23,LaF,0.5,0,no_label,55
23,LaF,0.5,1,label,58
23,LaF,0.5,1,no_label,60
23,LaF,0.5,2,label,69
23,LaF,0.5,2,no_label,74
23,LaF,0.5,3,label,81
23,LaF,0.5,3,no_label,85
23,LaF,0.5,4,label,89
23,LaF,0.5,4,no_label,90
23,LaF,0.5,5,label,89
23,LaF,0.5,5,no_label,88
23,LaF,0.5,6,label,85
23,LaF,0.5,6,no_label,82
23,LaF,0.5,7,label,77
23,LaF,0.5,7,no_label,74
24,LaF,0.5,0,no_label,71
24,LaF,0.5,0,label,40
24,LaF,0.5,1,no_label,50
24,LaF,0.5,1,label,42
