subject,model,explo_overlap,trial,labelled,i_presentation,error
1,LaF,0.25,3,label,12,0.0188489102724
1,LaF,0.25,3,label,13,0.0143163298639
1,LaF,0.25,3,label,14,0.010922957427
1,LaF,0.25,3,label,15,0.00831367817239
1,LaF,0.25,3,no_label,0,0.619500390059
1,LaF,0.25,3,no_label,1,0.191112975892
1,LaF,0.25,3,no_label,2,0.272586069864
1,LaF,0.25,3,no_label,3,0.149820625846
1,LaF,0.25,3,no_label,4,0.140499536532
1,LaF,0.25,3,no_label,5,0.0949561775791
1,LaF,0.25,3,no_label,6,0.0778885152093
1,LaF,0.25,3,no_label,7,0.0568005284754
1,LaF,0.25,3,no_label,8,0.0444598980459
1,LaF,0.25,3,no_label,9,0.0333447787001
1,LaF,0.25,3,no_label,10,0.0256682858628
1,LaF,0.25,3,no_label,11,0.0194542698193
1,LaF,0.25,3,no_label,12,0.0148881166016
1,LaF,0.25,3,no_label,13,0.0113301806642
1,LaF,0.25,3,no_label,14,0.00865441425822
1,LaF,0.25,4,label,0,0.480703895011
1,LaF,0.25,4,label,1,0.136518349042
1,LaF,0.25,4,label,2,0.21072031534
1,LaF,0.25,4,label,3,0.109126458741
1,LaF,0.25,4,label,4,0.106651993159
1,LaF,0.25,4,label,5,0.0695798376543
1,LaF,0.25,4,label,6,0.0581461346716
1,LaF,0.25,4,label,7,0.0415843254577
1,LaF,0.25,4,label,8,0.0327704782111
1,LaF,0.25,4,label,9,0.0243078407434
1,LaF,0.25,4,label,10,0.0187323307401
1,LaF,0.25,4,label,11,0.0141000713269
1,LaF,0.25,4,label,12,0.010775210616
1,LaF,0.25,4,label,13,0.00816021259466
1,LaF,0.25,4,no_label,0,0.362965836002
1,LaF,0.25,4,no_label,1,0.107295321076
1,LaF,0.25,4,no_label,2,0.159230760529
1,LaF,0.25,4,no_label,3,0.0850470425504
1,LaF,0.25,4,no_label,4,0.081347821252
1,LaF,0.25,4,no_label,5,0.0540849208414
1,LaF,0.25,4,no_label,6,0.044755282973
1,LaF,0.25,4,no_label,7,0.0323541428296
1,LaF,0.25,4,no_label,8,0.0254074687402
1,LaF,0.25,4,no_label,9,0.0189655797442
1,LaF,0.25,4,no_label,10,0.0146097239521
1,LaF,0.25,4,no_label,11,0.0110420949114
1,LaF,0.25,4,no_label,12,0.00844719971673
1,LaF,0.25,5,label,0,0.278202084702
1,LaF,0.25,5,label,1,0.0767955694107
1,LaF,0.25,5,label,2,0.121687572546
1,LaF,0.25,5,label,3,0.0618545871009
1,LaF,0.25,5,label,4,0.0612910427019
1,LaF,0.25,5,label,5,0.0395351034595
1,LaF,0.25,5,label,6,0.033268155729
1,LaF,0.25,5,label,7,0.0236414447625
1,LaF,0.25,5,label,8,0.0186891677977
1,LaF,0.25,5,label,9,0.0138149709482
1,LaF,0.25,5,label,10,0.0106592521203
1,LaF,0.25,5,label,11,0.008008145452
1,LaF,0.25,5,no_label,0,0.209231935552
1,LaF,0.25,5,no_label,1,0.0600589754606
1,LaF,0.25,5,no_label,2,0.0915363026262
1,LaF,0.25,5,no_label,3,0.0480849632461
1,LaF,0.25,5,no_label,4,0.0465533901347
1,LaF,0.25,5,no_label,5,0.030679465128
1,LaF,0.25,5,no_label,6,0.0255283331679
1,LaF,0.25,5,no_label,7,0.0183744589384
1,LaF,0.25,5,no_label,8,0.0144644655464
1,LaF,0.25,5,no_label,9,0.0107748448168
1,LaF,0.25,5,no_label,10,0.00830880856448
1,LaF,0.25,6,label,0,0.160170944974
1,LaF,0.25,6,label,1,0.0432017266013
1,LaF,0.25,6,label,2,0.0698470470654
1,LaF,0.25,6,label,3,0.0351281203995
1,LaF,0.25,6,label,4,0.0350975950401
1,LaF,0.25,6,label,5,0.0225200891678
1,LaF,0.25,6,label,6,0.0190273584952
1,LaF,0.25,6,label,7,0.0134886652899
1,LaF,0.25,6,label,8,0.0106860098061
1,LaF,0.25,6,label,9,0.00789176809802
